file,norm,fold,epoch,avg_epoch_time,train_acc,test_acc,dataset,model,declared_epochs,norm_type_header,exp
bn_0.txt,bn,0,47,0.2209,0.7662,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,48,0.2208,0.7552,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,49,0.2208,0.7493,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,50,0.2208,0.7363,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,51,0.2207,0.7453,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,52,0.2206,0.7313,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,53,0.2206,0.7433,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,54,0.2206,0.7273,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,55,0.2205,0.7383,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,56,0.2204,0.7483,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,57,0.2204,0.7443,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,58,0.2204,0.7473,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,59,0.2204,0.7512,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,60,0.2204,0.7473,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,61,0.2204,0.7133,0.6696,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,62,0.2204,0.7483,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,63,0.2204,0.7542,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,64,0.2204,0.7582,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,65,0.2204,0.7532,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,66,0.2204,0.7473,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,67,0.2204,0.7672,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,68,0.2204,0.7572,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,69,0.2204,0.7542,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,70,0.2204,0.7562,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,71,0.2205,0.7582,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,72,0.2206,0.7522,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,73,0.2205,0.7562,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
